img_url,lote,url,descripcion,apartado,img_desc,lotehead,precio,numerolote
['http://subastas.numismaticaycoleccionismo.es/imagenes/27041_a.jpg'],Lot 1,http://subastas.numismaticaycoleccionismo.es/index/viewBatch/18193/26a-subasta-online-24-05-16,"100 Pesetas. Barcelona 1813. Asignado Imperial Napoleónico. ED.A14. Algo sucio, si no EBC. Muy escaso",JOSÉ BONAPARTE,['100 Pesetas. Barcelona 1813. Asignado Imperial Napoleónico...'],['Lot No 1: 26ª Subasta Online · 24.05.16'],140 €,18193
['http://subastas.numismaticaycoleccionismo.es/imagenes/27042_a.jpg'],Lot 2,http://subastas.numismaticaycoleccionismo.es//index/viewBatch/18194/26a-subasta-online-24-05-16,100 Pesetas. Barcelona 1814. Asignado Imperial Napoleónico. ED.A15. Muy escaso. SC-,JOSÉ BONAPARTE,['100 Pesetas. Barcelona 1814. Asignado Imperial Napoleónico...'],['Lot No 2: 26ª Subasta Online · 24.05.16'],155 €,18194
"['http://subastas.numismaticaycoleccionismo.es/imagenes/27039_a.jpg', 'http://subastas.numismaticaycoleccionismo.es/imagenes/27039_b.jpg']",Lot 3,http://subastas.numismaticaycoleccionismo.es//index/viewBatch/18195/26a-subasta-online-24-05-16,"100 Reales de vellón. 14 Mayo 1857. Serie A. Con matriz, sin taladrar, sin firmas ni reverso. Pareja correlativa. ED.A117B. Ligeras arrugas del tiempo, si no SC. Muy escaso",BANCO DE ZARAGOZA,"['100 Reales de vellón. 14 Mayo 1857. Serie A...', '100 Reales de vellón. 14 Mayo 1857. Serie A...']",['Lot No 3: 26ª Subasta Online · 24.05.16'],200 €,18195
"['http://subastas.numismaticaycoleccionismo.es/imagenes/27040_a.jpg', 'http://subastas.numismaticaycoleccionismo.es/imagenes/27040_b.jpg']",Lot 4,http://subastas.numismaticaycoleccionismo.es//index/viewBatch/18196/26a-subasta-online-24-05-16,"500 Reales de vellón. 14 Mayo 1857. Serie C. Con matriz, sin taladrar, sin firmas ni reverso. Pareja correlativa. ED.A119B. Ligeras arrugas del tiempo, si no SC. Muy escaso",BANCO DE ZARAGOZA,"['500 Reales de vellón. 14 Mayo 1857. Serie C...', '500 Reales de vellón. 14 Mayo 1857. Serie C...']",['Lot No 4: 26ª Subasta Online · 24.05.16'],200 €,18196
"['http://subastas.numismaticaycoleccionismo.es/imagenes/27045_a.jpg', 'http://subastas.numismaticaycoleccionismo.es/imagenes/27045_b.jpg']",Lot 5,http://subastas.numismaticaycoleccionismo.es//index/viewBatch/18197/26a-subasta-online-24-05-16,"2000 Reales de vellón. 14 Mayo 1857. Sin serie. Con taladro central y con firmas manuscritas. ED.A121A. Alguna ligera rotura, si no MBC+. Escaso",BANCO DE ZARAGOZA,"['2000 Reales de vellón. 14 Mayo 1857. Sin serie...', '2000 Reales de vellón. 14 Mayo 1857. Sin serie...']",['Lot No 5: 26ª Subasta Online · 24.05.16'],120 €,18197
['http://subastas.numismaticaycoleccionismo.es/imagenes/27043_b.jpg'],Lot 6,http://subastas.numismaticaycoleccionismo.es//index/viewBatch/18198/26a-subasta-online-24-05-16,"Pruebas sin terminar (3). 50, 200 y 500 Pesetas. (Emisión 1911). ED.No cataloga. Muy interesante. SC",BANCO DE VALLS,"['Pruebas sin terminar (3). 50, 200 y 500 Pesetas...']",['Lot No 6: 26ª Subasta Online · 24.05.16'],82 €,18198
"['http://subastas.numismaticaycoleccionismo.es/imagenes/27055_a.jpg', 'http://subastas.numismaticaycoleccionismo.es/imagenes/27055_b.jpg']",Lot 7,http://subastas.numismaticaycoleccionismo.es//index/viewBatch/18199/26a-subasta-online-24-05-16,50 Pesetas. 1 Junio 1889. Goya. Falso de época. ED.B82F. Interesante. MBC+,BANCO DE ESPAÑA,"['50 Pesetas. 1 Junio 1889. Goya. Falso de época...', '50 Pesetas. 1 Junio 1889. Goya. Falso de época...']",['Lot No 7: 26ª Subasta Online · 24.05.16'],395 €,18199
"['http://subastas.numismaticaycoleccionismo.es/imagenes/27044_a.jpg', 'http://subastas.numismaticaycoleccionismo.es/imagenes/27044_b.jpg']",Lot 8,http://subastas.numismaticaycoleccionismo.es//index/viewBatch/18200/26a-subasta-online-24-05-16,25 Pesetas. 24 Julio 1893. Sin serie. Jovellanos. ED.B84. Firma en rev. Escaso. BC,BANCO DE ESPAÑA,"['25 Pesetas. 24 Julio 1893. Sin serie. Jovellanos...', '25 Pesetas. 24 Julio 1893. Sin serie. Jovellanos...']",['Lot No 8: 26ª Subasta Online · 24.05.16'],600 €,18200
"['http://subastas.numismaticaycoleccionismo.es/imagenes/26760_a.jpg', 'http://subastas.numismaticaycoleccionismo.es/imagenes/26760_b.jpg']",Lot 9,http://subastas.numismaticaycoleccionismo.es//index/viewBatch/18201/26a-subasta-online-24-05-16,"25 Pesetas. 17 Mayo 1899. Serie C. Quevedo. ED.B90A. Mantiene celo en margen central por ligera rajita, si no EBC. Escaso",BANCO DE ESPAÑA,"['25 Pesetas. 17 Mayo 1899. Serie C. Quevedo...', '25 Pesetas. 17 Mayo 1899. Serie C. Quevedo...']",['Lot No 9: 26ª Subasta Online · 24.05.16'],650 €,18201
"['http://subastas.numismaticaycoleccionismo.es/imagenes/26759_a.jpg', 'http://subastas.numismaticaycoleccionismo.es/imagenes/26759_b.jpg']",Lot 10,http://subastas.numismaticaycoleccionismo.es//index/viewBatch/18202/26a-subasta-online-24-05-16,"50 Pesetas. 25 Noviembre 1899. Serie G. Quevedo. ED.B91A. Mantiene celo en margen de reverso (2) por ligeras rajitas, si no MBC. Escaso",BANCO DE ESPAÑA,"['50 Pesetas. 25 Noviembre 1899. Serie G. Quevedo...', '50 Pesetas. 25 Noviembre 1899. Serie G. Quevedo...']",['Lot No 10: 26ª Subasta Online · 24.05.16'],600 €,18202
