url,img_desc,img_url,apartado,lote,descripcion
http://subastas.numismaticaycoleccionismo.es/index/viewBatch/18193/26a-subasta-online-24-05-16,['100 Pesetas. Barcelona 1813. Asignado Imperial Napoleónico...'],['http://subastas.numismaticaycoleccionismo.es/imagenes/27041_a.jpg'],JOSÉ BONAPARTE,Lot 1,"100 Pesetas. Barcelona 1813. Asignado Imperial Napoleónico. ED.A14. Algo sucio, si no EBC. Muy escaso"
http://subastas.numismaticaycoleccionismo.es//index/viewBatch/18194/26a-subasta-online-24-05-16,['100 Pesetas. Barcelona 1814. Asignado Imperial Napoleónico...'],['http://subastas.numismaticaycoleccionismo.es/imagenes/27042_a.jpg'],JOSÉ BONAPARTE,Lot 2,100 Pesetas. Barcelona 1814. Asignado Imperial Napoleónico. ED.A15. Muy escaso. SC-
http://subastas.numismaticaycoleccionismo.es//index/viewBatch/18195/26a-subasta-online-24-05-16,"['100 Reales de vellón. 14 Mayo 1857. Serie A...', '100 Reales de vellón. 14 Mayo 1857. Serie A...']","['http://subastas.numismaticaycoleccionismo.es/imagenes/27039_a.jpg', 'http://subastas.numismaticaycoleccionismo.es/imagenes/27039_b.jpg']",BANCO DE ZARAGOZA,Lot 3,"100 Reales de vellón. 14 Mayo 1857. Serie A. Con matriz, sin taladrar, sin firmas ni reverso. Pareja correlativa. ED.A117B. Ligeras arrugas del tiempo, si no SC. Muy escaso"
http://subastas.numismaticaycoleccionismo.es//index/viewBatch/18196/26a-subasta-online-24-05-16,"['500 Reales de vellón. 14 Mayo 1857. Serie C...', '500 Reales de vellón. 14 Mayo 1857. Serie C...']","['http://subastas.numismaticaycoleccionismo.es/imagenes/27040_a.jpg', 'http://subastas.numismaticaycoleccionismo.es/imagenes/27040_b.jpg']",BANCO DE ZARAGOZA,Lot 4,"500 Reales de vellón. 14 Mayo 1857. Serie C. Con matriz, sin taladrar, sin firmas ni reverso. Pareja correlativa. ED.A119B. Ligeras arrugas del tiempo, si no SC. Muy escaso"
http://subastas.numismaticaycoleccionismo.es//index/viewBatch/18197/26a-subasta-online-24-05-16,"['2000 Reales de vellón. 14 Mayo 1857. Sin serie...', '2000 Reales de vellón. 14 Mayo 1857. Sin serie...']","['http://subastas.numismaticaycoleccionismo.es/imagenes/27045_a.jpg', 'http://subastas.numismaticaycoleccionismo.es/imagenes/27045_b.jpg']",BANCO DE ZARAGOZA,Lot 5,"2000 Reales de vellón. 14 Mayo 1857. Sin serie. Con taladro central y con firmas manuscritas. ED.A121A. Alguna ligera rotura, si no MBC+. Escaso"
http://subastas.numismaticaycoleccionismo.es//index/viewBatch/18198/26a-subasta-online-24-05-16,"['Pruebas sin terminar (3). 50, 200 y 500 Pesetas...']",['http://subastas.numismaticaycoleccionismo.es/imagenes/27043_b.jpg'],BANCO DE VALLS,Lot 6,"Pruebas sin terminar (3). 50, 200 y 500 Pesetas. (Emisión 1911). ED.No cataloga. Muy interesante. SC"
http://subastas.numismaticaycoleccionismo.es//index/viewBatch/18199/26a-subasta-online-24-05-16,"['50 Pesetas. 1 Junio 1889. Goya. Falso de época...', '50 Pesetas. 1 Junio 1889. Goya. Falso de época...']","['http://subastas.numismaticaycoleccionismo.es/imagenes/27055_a.jpg', 'http://subastas.numismaticaycoleccionismo.es/imagenes/27055_b.jpg']",BANCO DE ESPAÑA,Lot 7,50 Pesetas. 1 Junio 1889. Goya. Falso de época. ED.B82F. Interesante. MBC+
http://subastas.numismaticaycoleccionismo.es//index/viewBatch/18200/26a-subasta-online-24-05-16,"['25 Pesetas. 24 Julio 1893. Sin serie. Jovellanos...', '25 Pesetas. 24 Julio 1893. Sin serie. Jovellanos...']","['http://subastas.numismaticaycoleccionismo.es/imagenes/27044_a.jpg', 'http://subastas.numismaticaycoleccionismo.es/imagenes/27044_b.jpg']",BANCO DE ESPAÑA,Lot 8,25 Pesetas. 24 Julio 1893. Sin serie. Jovellanos. ED.B84. Firma en rev. Escaso. BC
http://subastas.numismaticaycoleccionismo.es//index/viewBatch/18201/26a-subasta-online-24-05-16,"['25 Pesetas. 17 Mayo 1899. Serie C. Quevedo...', '25 Pesetas. 17 Mayo 1899. Serie C. Quevedo...']","['http://subastas.numismaticaycoleccionismo.es/imagenes/26760_a.jpg', 'http://subastas.numismaticaycoleccionismo.es/imagenes/26760_b.jpg']",BANCO DE ESPAÑA,Lot 9,"25 Pesetas. 17 Mayo 1899. Serie C. Quevedo. ED.B90A. Mantiene celo en margen central por ligera rajita, si no EBC. Escaso"
http://subastas.numismaticaycoleccionismo.es//index/viewBatch/18202/26a-subasta-online-24-05-16,"['50 Pesetas. 25 Noviembre 1899. Serie G. Quevedo...', '50 Pesetas. 25 Noviembre 1899. Serie G. Quevedo...']","['http://subastas.numismaticaycoleccionismo.es/imagenes/26759_a.jpg', 'http://subastas.numismaticaycoleccionismo.es/imagenes/26759_b.jpg']",BANCO DE ESPAÑA,Lot 10,"50 Pesetas. 25 Noviembre 1899. Serie G. Quevedo. ED.B91A. Mantiene celo en margen de reverso (2) por ligeras rajitas, si no MBC. Escaso"
